,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000001,平安银行股份有限公司,"Ping An Bank Co., Ltd.",000001,平安银行,1991-04-03,广东,深圳市,J 金融业,www.bank.pingan.com
szA_000002,万科企业股份有限公司,"CHINA VANKE CO., LTD.",000002,万  科Ａ,1991-01-29,广东,深圳市,K 房地产,www.vanke.com
szA_000004,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",000004,国农科技,1990-12-01,广东,深圳市,C 制造业,www.sz000004.cn
szA_000005,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,000005,世纪星源,1990-12-10,广东,深圳市,N 公共环保,www.fountain.com.cn
szA_000006,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",000006,深振业Ａ,1992-04-27,广东,深圳市,K 房地产,www.zhenye.com
szA_000007,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",000007,全新好,1992-04-13,广东,深圳市,K 房地产,
szA_000008,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",000008,神州高铁,1992-05-07,北京,北京市,C 制造业,www.shenzhou-gaotie.com
szA_000009,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",000009,中国宝安,1991-06-25,广东,深圳市,S 综合,www.chinabaoan.com
szA_000010,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",000010,美丽生态,1995-10-27,广东,深圳市,E 建筑业,
szA_000011,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,000011,深物业A,1992-03-30,广东,深圳市,K 房地产,www.szwuye.com.cn
szA_000012,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",000012,南  玻Ａ,1992-02-28,广东,深圳市,C 制造业,www.csgholding.com
szA_000014,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",000014,沙河股份,1992-06-02,广东,深圳市,K 房地产,www.shahe.cn
szA_000016,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",000016,深康佳Ａ,1992-03-27,广东,深圳市,C 制造业,www.konka.com
szA_000017,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,000017,深中华A,1992-03-31,广东,深圳市,C 制造业,www.cbc.com.cn
szA_000018,神州长城股份有限公司,"Sino Great Wall Co.,Ltd.",000018,神州长城,1992-06-16,广东,深圳市,E 建筑业,www.udcgroup.com
szA_000019,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",000019,深深宝Ａ,1992-10-12,广东,深圳市,C 制造业,www.sbsy.com.cn
szA_000020,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD.",000020,深华发Ａ,1992-04-28,广东,深圳市,C 制造业,www.hwafa.com.cn
szA_000021,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",000021,深科技,1994-02-02,广东,深圳市,C 制造业,www.kaifa.com.cn
szA_000022,深圳赤湾港航股份有限公司,Shenzhen Chiwan Wharf Holdings Limited,000022,深赤湾Ａ,1993-05-05,广东,深圳市,G 运输仓储,www.szcwh.com
szA_000023,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",000023,深天地Ａ,1993-04-29,广东,深圳市,C 制造业,www.000023.cn
szA_000025,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",000025,特  力Ａ,1993-06-21,广东,深圳市,F 批发零售,www.tellus.cn
